planet_name,aliases,period_days,period_err_days,t0_bjd_tdb,t0_err_days,duration_hours,duration_err_hours,depth_ppt,depth_err_ppt,rp_rs,rp_rs_err,model_depth_ppt,a_rs,a_rs_err,inclination_deg,inclination_err_deg,ecc,ecc_err,omega_deg,omega_err_deg,stellar_teff_k,stellar_teff_err_k,stellar_logg,stellar_logg_err,stellar_feh,stellar_feh_err,ra_deg,dec_deg,time_reference,source,notes,catalogue_type,depth_source,rprs_source,geometry_source,stellar_source,exoclock_priority,exoclock_total_observations,exoclock_recent_observations,exoclock_current_oc_min,exoclock_min_telescope_inches,v_mag,r_mag,gaia_g_mag
55Cnce,55Cnce,0.73654635,1.4e-07,2459554.20747,0.0001,1.56,,0.4143794378546062,,0.0187,,0.4143794378546062,3.47,,83.6,,0.0,,90.0,,5234.0,,4.45,,,,133.14921375000003,28.33082111111111,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,120.0,,0.0,71.29,5.96,5.4,5.714
AUMicb,AUMicb,8.463,2e-06,2458330.39051,0.00015,3.51,,3.0531625938146068,,0.0496,,3.0531625938146068,19.1,,89.5,,0.0,,90.0,,3700.0,,4.387,,,,311.2897179166667,-31.340900277777777,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,0.0,,0.0,11.0,8.627,9.078,7.84
AUMicc,AUMicc,18.859019,1.6e-05,2458342.2223,0.0005,4.51,,1.8035982712143461,,0.0395,,1.8035982712143461,29.0,,89.0,,0.0,,90.0,,3700.0,,4.387,,,,311.2897179166667,-31.340900277777777,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,0.0,,0.0,17.86,8.627,9.078,7.84
CoRoT-10b,CoRoT10b,13.2406,0.0002,2454273.3443,0.0012,3.02,,14.011158568239534,,0.127,,14.011158568239534,31.3,,88.55,,0.53,,90.0,,5075.0,,4.65,,,,291.063695,0.7461119444444444,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,alert,5.0,,-253.86,20.56,15.216,15.48,14.665
CoRoT-11b,CoRoT11b,2.99427799,4.5e-07,2456067.8706,0.00034,2.49,,10.77291230871813,,0.107,,10.77291230871813,6.89,,83.17,,0.0,,90.0,,6440.0,,4.22,,,,280.68729125,5.937681111111111,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,low,50.0,,2.84,7.9,12.939,12.622,12.841
CoRoT-19b,CoRoT19b,3.89713846,8.8e-07,2456551.29156,0.00045,4.7,,7.414332238267929,,0.0786,,7.414332238267929,6.7,,88.0,,0.0,,90.0,,6090.0,,4.07,,,,97.03357749999999,-0.17070333333333332,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,22.0,,-0.42,17.81,14.007,14.17,13.783
CoRoT-1b,CoRoT1b,1.508968475,5.8e-08,2455111.612574,6.7e-05,2.51,,22.366668539850586,,0.1388,,22.366668539850586,4.92,,85.1,,0.0,,90.0,,5950.0,,4.25,,,,102.07988458333332,-3.102141666666667,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,medium,95.0,,1.18,9.23,13.6,13.44,13.457
CoRoT-2b,CoRoT2b,1.742997,1.1e-07,2458363.21037,0.00012,2.28,,33.495233888913624,,0.1667,,33.495233888913624,6.7,,87.84,,0.0,,90.0,,5696.0,,4.42,,,,291.77706,1.3837102777777777,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,low,104.0,,0.48,6.08,12.568,12.204,12.249
CoRoT-36b,CoRoT36b,5.616531,2.3e-05,2455662.52236,0.00034,5.14,,11.100858191417263,,0.1004987562112089,,11.100858191417263,7.88,,85.83,,0.0,,90.0,,6730.0,,4.16,,,,277.75101,7.1833638888888895,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,alert,5.0,,-30.79,7.93,13.14,13.01,12.951
CoRoT-3b,CoRoT3b,4.2566839,1.8e-06,2454398.06946,0.00035,3.77,,4.887916145589366,,0.06632,,4.887916145589366,7.96,,86.1,,0.0,,90.0,,6740.0,,4.22,,,,292.05526749999996,0.12183722222222222,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,4.0,,0.0,18.86,13.292,13.099,13.219
CoRoT-5b,CoRoT5b,4.0379177,4.6e-07,2455203.74446,0.00019,2.77,,13.65692453056544,,0.1155,,13.65692453056544,9.54,,85.68,,0.0,,90.0,,6100.0,,4.19,,,,101.2772525,0.8152513888888889,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,low,59.0,,-1.54,10.62,14.018,13.82,13.902
DSTucAb,DSTucAb,8.138268,1.1e-05,2458332.31077,0.00026,3.18,,3.613120680267645,,0.05419,,3.613120680267645,20.35,,89.5,,0.0,,90.0,,5428.0,,4.478,,,,354.91450375,-69.1957525,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,0.0,,0.0,9.77,8.47,9.28,8.319
EPIC211945201b,EPIC211945201b,19.492164,1.3e-05,2458152.92414,0.00036,3.91,,1.5185519927073399,,0.0407,,1.5185519927073399,23.1,,87.9,,0.0,,90.0,,6025.0,,4.25,,,,136.57398541666666,19.402236388888888,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,8.0,,0.0,24.76,10.15,9.847,10.051
EPIC246851721b,EPIC246851721b,6.1802688,1.6e-06,2458328.62999,0.0002,4.1,,4.952071324452523,,0.068,,4.952071324452523,9.8,,86.21,,0.0,,90.0,,6202.0,,4.16,,,,78.91980708333334,16.278755,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,low,35.0,,-4.33,9.8,11.24,11.034,11.255
G9-40b,G940b,5.7460006,1.8e-06,2458204.731004,8.6e-05,1.33,,3.9159177176075755,,0.0605,,3.9159177176075755,27.0,,88.57,,0.0,,90.0,,3348.0,,4.93,,,,134.71804125,21.07616722222222,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,27.0,,1.8,26.13,13.821,12.683,12.733
GJ1132b,GJ1132b,1.62892951,8.6e-07,2458041.374705,9.3e-05,0.76,,3.1174360597975292,,0.051,,3.1174360597975292,16.0,,88.6,,0.0,,90.0,,3270.0,,5.05,,,,153.71574291666664,-47.15671916666667,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,31.0,,0.0,45.05,13.49,13.067,12.138
GJ1214b,GJ1214b,1.580404595,3.7e-08,2455913.187407,2e-05,0.87,,17.148284571664618,,0.116,,17.148284571664618,15.31,,89.3,,0.0,,90.0,,3026.0,,4.99,,,,258.8288904166667,4.9639066666666665,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,low,109.0,,0.88,13.24,15.1,14.394,13.009
GJ1252b,GJ1252b,0.51824231,4.4e-07,2459487.95566,0.00053,0.74,,0.9206100155382257,,0.02802,,0.9206100155382257,5.05,,85.0,,0.0,,90.0,,3458.0,,4.835,,,,306.92533875,-56.45698777777778,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,11.0,,0.0,103.41,12.68,11.83,11.236
GJ3090b,GJ3090b,2.85310188,9.5e-07,2458961.01079,0.00026,1.33,,1.5553367310683353,,0.0379,,1.5553367310683353,13.18,,87.14,,0.0,,90.0,,3556.0,,4.73,,,,20.43912541666667,-46.714378888888895,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,27.0,,0.0,35.05,11.403,10.426,10.552
