planet_name,aliases,period_days,period_err_days,t0_bjd_tdb,t0_err_days,duration_hours,duration_err_hours,depth_ppt,depth_err_ppt,rp_rs,rp_rs_err,model_depth_ppt,a_rs,a_rs_err,inclination_deg,inclination_err_deg,ecc,ecc_err,omega_deg,omega_err_deg,stellar_teff_k,stellar_teff_err_k,stellar_logg,stellar_logg_err,stellar_feh,stellar_feh_err,ra_deg,dec_deg,time_reference,source,notes
"55 Cnc e",55Cnce;55Cnc,0.7365474,1.35E-06,2457063.2096,0.0005,1.5439,0.00265,0.3846733,0.0041906,0.0182,0.0002,0.33124,3.52,0.01,83.59,0.45499999999999996,0.05,0.03,86,32.05,5172,18,4.43,0.02,0.35,0.1,133.1468373,28.3298154,BJD-TDB,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"AU Mic b",AUMicb;AUMic,8.463446,5E-06,2458330.350878,0.0005189999999999999,3.24,0.22,2.49,0.04,0.0499,0.0004,2.49001,17.51,1.1800000000000002,88.39,0.21500000000000002,0.07,0.065,-52,67.9,3540,115,4.37,0.09,0.01,0.06,311.2911369,-31.34245,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"AU Mic c",AUMicc;AUMic,18.859023,2.3E-05,2458342.223325,0.001095,4.29,0.28500000000000003,0.8500000000000001,0.025,0.0291,0.00039999999999999996,0.8468100000000001,29.87,2.01,89.46,0.405,0.18,0.07500000000000001,72.8,54.85,3540,115,4.37,0.09,0.01,0.06,311.2911369,-31.34245,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"BD-14 3065 b",BD143065b;BD143065A,4.2889731,5.2E-06,2459313.48578,0.00076,3.086,0.041,6.49,0.21499999999999997,0.0843,0.0022500000000000003,7.10649,6.01,0.125,80.78,0.27,0.066,0.0104,54,7.55,6935,90,3.85,0.03,-0.34,0.05,153.6696689,-15.6428372,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-1 b",CoRoT1b;CoRoT1,1.5089557,6.4E-06,2454159.4532,0.0001,2.373,0.245,19.2654,0.5829610000000001,0.1388,0.0021,19.26544,4.92,0.08,85.1,0.5,0,,,,5950,150,4.25,0.3,-0.3,0.25,102.0798591,-3.1021394,JD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-10 b",CoRoT10b;CoRoT10,13.2406,0.0002,2454273.3436,0.0012,2.98,0.06,16.1036,0.96444,0.1269,0.0038,16.103610000000003,31.33,2.15,88.55,0.2,0.53,0.04,218.9,6.4,5075,75,4.65,0.1,0.26,0.07,291.0636813,0.7460143,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-11 b",CoRoT11b;CoRoT11,2.99433,1.1E-05,2454597.679,0.0003,2.5009,0.0144,11.449,0.10700000000000001,0.107,0.0005,11.449,6.89,0.08,83.17,0.15,0,,,,6440,120,4.22,0.23,-0.03,0.08,280.6872998,5.9376586,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-12 b",CoRoT12b;CoRoT12,2.828042,1.3E-05,2454398.62707,0.00036,2.57424,0.02148,17.44,0.395,0.1314,0.0015,17.265959999999996,8.0972,0.22970000000000002,85.48,0.745,0.07,0.052500000000000005,105,58.5,5675,80,4.375,0.0635,0.16,0.1,100.7656871,-1.2964437,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-13 b",CoRoT13b;CoRoT13,4.03519,3E-05,2454790.8091,0.0006,3.14,0.01,11.8504723,1.1095808,0.0909,0.0014,8.262809999999998,10.81,0.32,88.02,0.35,0,,,,5945,90,4.46,0.05,0.01,0.07,102.7211432,-5.0864557,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-14 b",CoRoT14b;CoRoT14,1.51214,0.00013,2454787.6694,0.0053,1.662,0.044,8.55625,0.3515,0.0925,0.0019,8.55625,4.78,0.28,79.6,0.8,0,,,,6035,100,4.35,0.15,0.05,0.15,103.4242023,-5.5360385,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-16 b",CoRoT16b;CoRoT16,5.35227,0.0002,2454923.9138,0.00215,2.39,0.09,10.2,0.935,0.101,0.0046,10.201000000000002,11.2,1.15,85.01,1.0699999999999998,0.33,0.095,168.41,21.88,5650,100,4.36,0.1,0.19,0.06,278.5246658,-6.0026026,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-17 b",CoRoT17b;CoRoT17,3.7681,0.0003,2454923.3093,0.0036,4.72001,0,4.4,,0.066332495807108,,4.4,6.23,0.24,88.34,1.54,0,,0,,5740,80,4.4,0.1,0,0.1,278.699236,-6.612288,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-18 b",CoRoT18b;CoRoT18,1.9000693,2.8E-06,2455321.72412,0.00018,2.387,0.038,25.7170086,0.8435980999999999,0.1341,0.0019,17.982809999999997,6.35,0.4,86.5,1.15,0.08,,,,5440,100,4.4,0.1,-0.1,0.1,98.1724172,-0.0316045,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-19 b",CoRoT19b;CoRoT19,3.89713,2E-05,2455257.44102,0.0006,4.7,0.1,6.3127463,0.2799725,0.0786,0.0004,6.177960000000001,6.7,0.1,88,0.7,0.047,0.045,,,6090,70,4.07,0.03,-0.02,0.1,97.0335983,-0.1707293,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-2 b",CoRoT2b;CoRoT2,1.7429935,1E-06,2454237.53556,0.000205,2.26704,0.0025199999999999997,27.5,0.12,0.1667,0.0006,27.788889999999995,6.7,0.03,88.08,0.16999999999999998,0.0143,0.0076500000000000005,102,11,5625,120,4.53,0.016,0.04,0.05,291.7770457,1.3836634,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-20 b",CoRoT20b;CoRoT20,9.24285,0.0003,2455266.0001,0.0014,2.2248,0.0456,10.879977,1.1305815,0.0842,0.0017,7.089639999999999,18.95,0.6799999999999999,88.21,0.53,0.59,0.02,60.1,2.4,5880,90,4.35,0.125,0.14,0.12,97.7204249,0.2268931,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-21 b",CoRoT21b;CoRoT21,2.72474,0.00014,2454399.0282,0.0009,4.76,,4.489000000000001,0.2412,0.067,0.0018,4.489000000000001,4.6,0.26,86.8,2.1,0,,,,6200,100,3.7,0.1,0,0.1,101.0526207,-0.2991544,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"CoRoT-22 b",CoRoT22b;CoRoT22,9.75598,0.00011,2454598.42014,0.00075,4.492,0.039,1.5421329,0.03809189999999999,0.03927,0.00048499999999999997,1.5421329,17.3,0.935,89.749,0.466,0.077,0.17099999999999999,210,50,5939,87,4.361,0.047,0.17,0.095,280.6671392,6.2191669,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
